date,sector,benchmark,benchmark_price,ret_1w,ret_4w,ret_12w,ret_26w,ret_52w,rel_spy_4w,rel_spy_12w,rel_spy_26w,vs_10w_ma,vs_40w_ma,breadth_above_10w,breadth_above_40w,breadth_positive_4w,breadth_positive_12w,basket_rel_spy_4w,basket_rel_spy_12w,basket_rel_spy_26w,volatility_12w_ann,volume_ratio_4w_vs_prev12,score,delta_4w,signal
2024-01-26,HEALTHCARE,XLV,139.27000427246094,-0.001362415260714,,,,,,,,,,,,,,,,,,,,,N/A
2024-01-26,MATERIALS,XLB,41.255001068115234,0.0034050683189381,,,,,,,,,,,,,,,,,,,,,N/A
2024-01-26,NUCLEAR,URA,29.59000015258789,-0.0276043425620674,,,,,,,,,,,,,,,,,,,,,N/A
2024-01-26,POWER_INDUSTRIALS,XLI,113.43000030517578,0.0087150145267203,,,,,,,,,,,,,,,,,,,,,N/A
2024-01-26,SEMI,SOXX,199.2566680908203,-0.0057548802465648,,,,,,,,,,,,,,,,,,,,,N/A
2024-02-02,AI_SOFTWARE,IGV,85.8759994506836,0.0143393358348311,0.1107719808420399,,,,0.0542879837542276,,,,,,,1.0,,0.0391092005199233,,,,,,,N/A
2024-02-02,COMMUNICATION_SERVICES,XLC,79.73999786376953,0.0265190209899688,0.1068850201330653,,,,0.0504010230452529,,,,,,,0.8333333333333334,,0.0694079516403191,,,,,,,N/A
2024-02-02,CONSUMER_DISCRETIONARY,XLY,88.66000366210938,0.032851904060182,0.0272275074729351,,,,-0.0292564896148772,,,,,,,0.6666666666666666,,-0.0468943601467322,,,,,,,N/A
2024-02-02,CONSUMER_STAPLES,XLP,74.16999816894531,0.0212033729005114,0.0299957779285786,,,,-0.0264882191592337,,,,,,,1.0,,-0.00772722965649,,,,,,,N/A
2024-02-02,DEFENSIVE,XLU,30.7450008392334,0.0045744583921285,-0.047109827341348,,,,-0.1035938244291604,,,,,,,0.6666666666666666,,-0.0460802880990176,,,,,,,N/A
