,macro_score,rates_credit_score,market_score,semi_score,pre_crash_risk,shock_soxx,shock_spy,shock_vix,shock_credit,soxx_below_200d,shock_risk_accel,shock_count,current_stress,pre_crash_risk_mom_1w,pre_crash_risk_mom_4w,current_stress_mom_1w,current_stress_mom_4w,semi_score_mom_1w,semi_score_mom_4w,SOXL_close,SOXX_close,soxl_bh_return
2016-01-01,14.800000000000011,19.4,,,,False,False,False,False,False,False,0,,,,,,,,,,
2016-01-08,14.800000000000011,19.88,60.0,,,False,False,False,False,False,False,0,,,,,,,,1.3106670379638672,27.116666793823242,
2016-01-15,14.800000000000011,20.28,60.0,,,False,False,False,False,False,False,0,,,,,,,,1.1339999437332153,25.886667251586914,-0.13479174276413153
2016-01-22,14.800000000000011,20.62666666666667,35.0,,,False,False,False,False,False,False,0,,,,,,,,1.2786669731140137,26.969999313354492,0.12757234264451833
2016-01-29,16.0,7.595833333333334,35.0,,,False,False,False,False,False,False,0,,,,,,,,1.3673330545425415,27.676666259765625,0.06934259138061116
2016-02-05,16.0,7.6625,35.0,,,False,False,False,False,False,False,0,,,,,,,,1.1886670589447021,26.47333335876465,-0.130667502701172
2016-02-12,16.0,7.557142857142858,60.0,,,False,False,False,False,False,False,0,,,,,,,,1.0959999561309814,25.816667556762695,-0.07795883810895754
2016-02-19,16.0,7.557142857142858,35.0,,,False,False,False,False,False,False,0,,,,,,,,1.2953330278396606,27.350000381469727,0.18187324788985415
2016-02-26,16.599999999999994,9.15,35.0,,,False,False,False,False,False,False,0,,,,,,,,1.4179999828338623,28.22333335876465,0.09469916412058454
2016-03-04,16.599999999999994,15.214285714285714,10.0,,,False,False,False,False,False,False,0,,,,,,,,1.6066670417785645,29.43000030517578,0.13305152413870447
2016-03-11,16.599999999999994,21.482142857142854,10.0,,,False,False,False,False,False,False,0,,,,,,,,1.6653330326080322,29.799999237060547,0.036514093650993784
2016-03-18,16.599999999999994,17.696428571428577,10.0,,,False,False,False,False,False,False,0,,,,,,,,1.7873330116271973,30.523332595825195,0.07325860751594182
2016-03-25,16.599999999999994,17.670238095238098,10.0,,,False,False,False,False,False,False,0,,,,,,,,1.7153329849243164,30.046667098999023,-0.04028349850559276
2016-04-01,18.0,10.94166666666667,19.95252628620705,,,False,False,False,False,False,False,0,,,,,,,,1.8359999656677246,30.75,0.07034609711579254
2016-04-08,18.0,6.7857142857142865,16.631573196035973,,,False,False,False,False,False,False,0,,,,,,,,1.7480000257492065,30.270000457763672,-0.047930251396553714
2016-04-15,18.0,9.604761904761906,19.25704637573628,,,False,False,False,False,False,False,0,,,,,,,,1.76466703414917,30.39666748046875,0.009534901690187114
2016-04-22,18.0,13.951190476190481,20.06133927489646,,,False,False,False,False,False,False,0,,,,,,,,1.7286670207977295,30.190000534057617,-0.020400456661104793
2016-04-29,22.0,15.271428571428574,21.92097412077699,,,False,False,False,False,False,False,0,,,,,,,,1.5466669797897339,29.126667022705078,-0.10528345761117597
2016-05-06,22.0,17.78095238095239,19.96783825952786,,,False,False,False,False,False,False,0,,,,,,,,1.4886670112609863,28.793333053588867,-0.0374999720603284
2016-05-13,22.0,12.719047619047616,25.27653181844618,,,False,False,False,False,False,False,0,,,,,,,,1.4600000381469727,28.610000610351562,-0.019256806859534792
2016-05-20,22.0,13.398809523809524,24.529474324379414,,,False,False,False,False,False,False,0,,,,,,,,1.6833330392837524,30.049999237060547,0.1529678050010419
2016-05-27,10.599999999999994,19.508333333333336,26.06794815734463,,,False,False,False,False,False,False,0,,,,,,,,1.9306670427322388,31.47333335876465,0.14693111682387316
2016-06-03,10.599999999999994,11.135714285714284,24.523797251441344,,,False,False,False,False,False,False,0,,,,,,,,2.0133330821990967,31.92333221435547,0.042817346356040176
2016-06-10,10.599999999999994,10.880952380952383,28.17923316928256,,,False,False,False,False,False,False,0,,,,,,,,1.9559999704360962,31.649999618530273,-0.028476714692621807
2016-06-17,10.599999999999994,6.947619047619053,32.67073406900054,,,False,False,False,False,False,False,0,,,,,,,,1.8746670484542847,31.203332901000977,-0.041581249085437366
2016-06-24,10.599999999999994,7.014285714285715,43.85227576935235,,,False,False,False,False,False,False,0,,,,,,,,1.7466670274734497,30.553333282470703,-0.06827880240727258
2016-07-01,13.0,7.071428571428572,26.26207192001869,,,False,False,False,False,False,False,0,,,,,,,,1.7979999780654907,30.956666946411133,0.029389087779537526
2016-07-08,13.0,10.314285714285715,25.722724579208787,32.415706676579305,14.83807028720118,False,False,False,False,False,False,0,20.630639853880695,,,,,,,1.9266669750213623,31.656667709350586,0.07156117826781472
2016-07-15,13.0,11.741666666666662,23.927101156392656,18.380470232277357,13.30373720150827,False,False,False,False,False,False,0,16.83599968247143,-1.5343330856929107,,-3.794640171409263,,-14.035236444301948,,2.117332935333252,32.6966667175293,0.09896155525776607
2016-07-22,13.0,12.096428571428573,20.997151221583664,19.057872770143163,13.547252344092904,False,False,False,False,False,False,0,15.36000772589965,0.24351514258463425,,-1.4759919565717823,,0.677402537865806,,2.2793331146240234,33.516666412353516,0.07651143407225836
2016-07-29,20.0,13.183333333333334,21.999449524403186,15.275275943727618,16.564624724892475,False,False,False,False,False,False,0,15.154752427167276,3.0173723807995714,,-0.20525529873237325,,-3.7825968264155456,,2.50333309173584,34.66666793823242,0.09827434861304396
2016-08-05,20.0,27.16309523809524,21.68438309784198,10.13835422140853,21.385991228449377,False,False,False,False,False,False,0,13.954081548094797,4.821366503556902,6.547920941248197,-1.2006708790724794,-6.676558305785898,-5.136921722319087,-22.277352455170774,2.569999933242798,34.96333312988281,0.026631230868573885
2016-08-12,20.0,11.188095238095242,25.631732457825446,1.8354318742479512,13.75055287637529,False,False,False,False,False,False,0,14.464539226653587,-7.635438352074088,0.44681567486702,0.5104576785587902,-2.3714604558178447,-8.302922347160578,-16.545038358029405,2.634666919708252,35.26333236694336,0.02516225219658197
2016-08-19,20.0,15.705952380952382,24.87027359608186,4.4100713993191825,15.943891662278832,False,False,False,False,False,False,0,14.56066475770886,2.193338785903542,2.396639318185928,0.09612553105527333,-0.7993429681907891,2.5746395250712313,-14.64780137082398,2.814666986465454,36.04999923706055,0.06831985683303543
2016-08-26,20.400000000000006,25.448809523809523,19.22246644951771,6.224709568000896,20.293230244723947,False,False,False,False,False,False,0,11.817298460834921,4.349338582445116,3.728605519831472,-2.7433662968739387,-3.3374539663323546,1.8146381686817135,-9.05056637572672,2.8626670837402344,36.25,0.017053561755473234
