date,sector,benchmark,benchmark_price,ret_4w,ret_12w,ret_26w,rel_spy_4w,rel_spy_12w,rel_spy_26w,vs_10w_ma,vs_40w_ma,breadth_above_10w,breadth_above_40w,breadth_positive_4w,breadth_positive_12w,basket_rel_spy_4w,basket_rel_spy_12w,basket_rel_spy_26w,volatility_12w_ann,volume_ratio_4w_vs_prev12
2026-09-11,AI_SOFTWARE,IGV,101.5199966430664,-0.024596513671701792,0.13952184101605147,0.205843849615295,-0.00907490147693557,0.11601970101754877,0.05183276174739326,0.021841923340305547,0.09195630670242783,1.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,-0.010987836977704168,0.16362132521808706,0.06057530822164466,0.34078883544042404,0.6193901588324519
2026-09-11,COMMUNICATION_SERVICES,XLC,112.5999984741211,-0.0030987028205187173,0.028780279704973433,-0.01616425096942309,0.012422909374247504,0.00527813970647073,-0.17017533883732483,0.014368712566661168,-0.011024978574769917,0.8333333333333334,0.5,0.16666666666666666,0.8333333333333334,0.025534707467264123,-0.006716789320585319,-0.17342613057043263,0.16341913039008488,0.6200083317459529
2026-09-11,CONSUMER_DISCRETIONARY,XLY,112.95999908447266,-0.04433162435752036,-0.03584845037859141,0.018942796883991697,-0.02881001216275414,-0.059350590377094115,-0.13506829098391004,-0.025652531256668776,-0.033737092007043,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.027606089232730596,-0.09492211467970885,-0.228093371381888,0.21439783181577454,0.7072211039219308
2026-09-11,CONSUMER_STAPLES,XLP,83.37999725341797,-0.031478675801498546,0.0009603145105583355,-0.016049098945434714,-0.015957063606732325,-0.022541825487944367,-0.17006018681333646,-0.018019109607156247,-0.005264217341405031,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.014592960231215887,-0.03945336863559088,-0.20624950024426836,0.07882858376342697,0.8459721663136076
2026-09-11,DEFENSIVE,XLU,42.38999938964844,-0.043331119930858475,-0.05294903978458376,-0.09731686081602353,-0.027809507736092254,-0.07645117978308646,-0.2513279486839253,-0.03683171636951421,-0.05127460149071539,0.3333333333333333,0.5,0.5,0.6666666666666666,0.0063320936729035675,0.025797578660602023,-0.12133284418172724,0.1602217298030181,0.9878939088573697
2026-09-11,ENERGY,XLE,65.13999938964844,0.05217250121462147,0.2114561806785904,0.12894278212016386,0.06769411340938769,0.1879540406800877,-0.025068305747737885,0.07339418866956215,0.1687501896106749,1.0,1.0,1.0,1.0,0.07712244909778365,0.20409190129034335,-0.016355592586402217,0.22045523985074394,0.8376408606216403
2026-09-11,FINANCIALS,XLF,57.25,-0.01564648985212469,0.06869517129251235,0.17099612834361455,-0.00012487765735846867,0.045193031294009645,0.01698504047571281,0.001031644472050841,0.06738012420809691,0.5,1.0,0.0,0.6666666666666666,-0.007320019750102787,0.011345980689520141,0.11942087112372686,0.09736707689448727,0.8645869146498095
2026-09-11,HEALTHCARE,XLV,165.36000061035156,-0.012009288196660362,0.1068273585400914,0.10394557728884135,0.0035123239981058596,0.0833252185415887,-0.05006551057906039,-0.005467033030315038,0.06127387624529579,0.5,1.0,0.5,0.8333333333333334,0.013415698150561262,0.09022668128794864,0.02855823608015799,0.20940404297959778,0.746598396180802
2026-09-11,MARKET,SPY,764.2899780273438,-0.015521612194766221,0.023502139998502702,0.15401108786790174,0.0,0.0,0.0,0.005201628862868679,0.06781806450993422,0.5,1.0,0.0,0.5,-0.01603560999644052,-0.02613554774122484,0.005975101625601109,0.12068011237973568,0.7176771824397692
2026-09-11,MATERIALS,XLB,50.95000076293945,-0.03026265940010653,-0.016599123481106592,0.03577967443314445,-0.014741047205340307,-0.040101263479609295,-0.1182314134347573,-0.017585113033190325,0.007534277943072487,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0029907200842747748,0.009532874161969592,-0.08392667061889214,0.15085433118988903,0.9353732767999857
2026-09-11,NUCLEAR,URA,43.529998779296875,-0.031159615320938028,-0.0889493534654825,-0.11685944469958309,-0.015638003126171807,-0.1124514934639852,-0.27087053256748483,0.008269029843924747,-0.09938710234827108,0.5,0.0,0.16666666666666666,0.16666666666666666,-0.05220394447200394,-0.1408281980603285,-0.3134840762132587,0.45951994238481236,0.995325616261779
2026-09-11,POWER_INDUSTRIALS,XLI,172.3699951171875,-0.07581362825642124,-0.0472058392131387,0.04688734592700139,-0.06029201606165502,-0.0707079792116414,-0.10712374194090035,-0.04268142353286897,0.001551373326265315,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,-0.061377796755833124,-0.09800039722113368,-0.04406488487186764,0.13159507612252852,0.9644216078013748
2026-09-11,SEMI,SOXX,527.0700073242188,-0.04242210731972795,-0.17574478495189683,0.5908185309450555,-0.026900495124961732,-0.19924692495039953,0.4368074430771538,-0.00634196779297036,0.18792668687179415,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,-0.035263317815830975,-0.17546981521495367,0.3960383313181672,0.3650299239593608,0.6826026788200987
